Level,Average HP,Average PD/AD,Attack Bonus,Save DC,Prime Modifier,Combat Mastery,Trait Value
-1,7,10,+2,12,2,0,2
0,11,11,+3,13,2,1,4
1,13,12,+4,14,3,1,6
2,15,12,+4,14,3,1,8
3,19,13,+5,15,3,2,10
4,20,13,+5,15,3,2,12
5,24,15,+7,17,4,3,14
6,25,15,+7,17,4,3,16
7,28,16,+8,18,4,4,18
8,30,16,+8,18,4,4,20
9,34,17,+9,19,4,5,22
10,36,18,+10,20,5,5,24
11,40,19,+11,21,5,6,26
12,42,19,+11,21,5,6,28
13,44,20,+12,22,5,7,30
14,46,20,+12,22,5,7,32
15,50,22,+14,24,6,8,34
16,51,22,+14,24,6,8,36
17,55,23,+15,25,6,9,38
18,56,23,+15,25,6,9,40
19,60,24,+16,26,6,10,42
20,62,25,+17,27,7,10,44
